"Libellé";"idBank";"Dernière mise à jour";"Période";"1949";"1950";"1951";"1952";"1953";"1954";"1955";"1956";"1957";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Lait de vache";"010776518";"31/07/2026 12:00";"";"12.1";"12.1";"12.8";"13.6";"13.6";"12.1";"12.2";"13.3";"13.3";"14.3";"16.5";"17.2";"16.9";"18.0";"19.3";"19.7";"19.5";"20.2";"20.8";"20.7";"21.1";"23.2";"25.8";"28.7";"29.5";"31.8";"35.5";"38.6";"41.1";"45.0";"48.9";"52.6";"57.4";"64.8";"70.5";"73.3";"76.7";"79.0";"80.1";"82.1";"85.9";"85.9";"83.9";"85.4";"86.5";"86.2";"86.4";"86.2";"85.9";"87.0";"85.3";"87.4";"91.0";"88.8";"87.3";"83.5";"81.7";"79.0";"84.4";"99.2";"81.2";"88.0";"95.4";"92.5";"99.1";"105.8";"91.0";"84.7";"96.2";"97.3";"101.1";"100.0";"104.3";"125.4";"132.3";"132.5";"139.7"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Lait de brebis";"010776519";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"101.6";"101.8";"97.0";"97.7";"96.6";"96.3";"88.9";"87.1";"88.2";"89.0";"90.1";"91.7";"89.8";"87.9";"96.8";"87.9";"88.7";"92.0";"92.1";"90.8";"91.9";"93.5";"94.0";"96.4";"98.7";"100.0";"100.0";"100.0";"100.0";"100.0";"100.0";"101.6";"106.9";"";"";""
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Indice annuel des prix agricoles à la production (IPPAP) - Lait de chèvre";"010776520";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"71.6";"72.5";"74.4";"83.6";"86.3";"83.3";"81.0";"81.0";"89.1";"93.1";"94.0";"94.8";"96.2";"96.3";"97.2";"100.0";"102.8";"111.7";"121.3";"123.9";"124.4"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Oeufs";"010776521";"31/07/2026 12:00";"";"20.6";"19.8";"22.6";"25.8";"26.5";"23.9";"25.0";"28.8";"27.6";"31.8";"28.2";"30.1";"31.0";"31.7";"36.8";"28.4";"34.6";"34.1";"31.8";"30.1";"32.9";"30.0";"36.4";"41.6";"42.1";"44.2";"42.2";"52.3";"60.3";"61.0";"59.5";"64.9";"72.9";"65.2";"80.5";"93.6";"86.8";"78.2";"89.8";"77.6";"82.2";"80.3";"81.3";"76.2";"75.0";"65.3";"61.8";"74.5";"70.8";"62.2";"57.3";"70.8";"69.5";"65.7";"82.6";"57.7";"57.5";"63.6";"80.5";"82.1";"86.3";"72.1";"80.5";"122.2";"80.9";"85.6";"93.8";"88.6";"120.6";"116.6";"109.1";"100.0";"109.3";"182.0";"197.3";"180.1";"248.2"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Fruits et légumes";"010776522";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69.2";"74.7";"77.1";"80.3";"71.1";"82.0";"75.9";"83.8";"88.7";"78.7";"82.6";"87.2";"84.8";"92.0";"93.4";"100.0";"111.7";"112.4";"118.2";"122.6";"120.7"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Fruits et légumes frais";"010776523";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13.0";"14.5";"17.5";"18.1";"22.7";"23.8";"26.0";"38.1";"31.7";"32.2";"34.0";"40.7";"42.0";"49.3";"51.3";"56.5";"55.1";"54.5";"52.3";"52.3";"60.1";"72.0";"55.5";"53.8";"54.3";"56.9";"60.4";"59.7";"61.8";"60.2";"59.5";"68.5";"66.7";"75.3";"65.7";"66.6";"73.6";"75.7";"78.2";"68.3";"80.8";"73.5";"81.9";"86.8";"75.1";"80.2";"85.5";"82.7";"90.8";"92.2";"100.0";"107.2";"108.0";"118.7";"120.4";"117.2"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Fruits frais";"010776524";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"11.5";"13.2";"18.8";"17.7";"20.9";"23.4";"22.0";"46.0";"32.2";"27.3";"32.0";"36.9";"42.0";"43.9";"45.4";"46.4";"51.6";"43.0";"48.2";"48.6";"59.2";"80.8";"50.1";"49.4";"51.6";"54.6";"53.2";"54.8";"64.1";"53.9";"55.7";"65.8";"64.2";"75.9";"71.1";"62.0";"68.3";"72.0";"80.6";"64.8";"76.3";"73.8";"82.7";"92.9";"75.1";"81.9";"85.6";"84.9";"95.4";"89.7";"100.0";"114.1";"105.6";"112.1";"115.3";"116.9"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Abricot";"010776525";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"14.8";"10.2";"13.4";"11.2";"24.0";"41.7";"16.4";"36.7";"29.1";"41.9";"36.9";"36.6";"44.9";"37.3";"47.8";"45.2";"46.3";"48.8";"50.0";"48.9";"52.1";"68.2";"40.0";"76.0";"43.8";"79.2";"47.1";"47.7";"86.5";"40.9";"61.4";"94.9";"54.6";"100.7";"68.8";"58.9";"65.3";"83.7";"112.6";"56.2";"76.2";"69.9";"65.8";"92.9";"61.7";"74.3";"84.4";"53.4";"77.5";"68.6";"100.0";"105.3";"95.4";"90.8";"95.6";"90.8"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Cerise";"010776526";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8.4";"8.1";"12.1";"12.7";"14.3";"17.5";"12.5";"29.4";"28.6";"20.5";"28.9";"28.7";"21.8";"31.4";"32.4";"34.8";"47.3";"31.0";"39.2";"38.9";"43.7";"56.2";"34.2";"41.3";"36.5";"54.5";"46.8";"47.5";"74.1";"44.2";"47.1";"57.4";"53.9";"74.0";"74.0";"51.8";"57.7";"80.9";"74.0";"55.2";"77.7";"68.9";"92.3";"76.2";"70.4";"80.8";"95.0";"85.6";"87.5";"103.4";"100.0";"139.0";"98.9";"140.1";"134.6";"122.9"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Châtaigne";"010776527";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37.5";"44.8";"35.9";"33.1";"31.3";"39.8";"39.6";"36.6";"42.4";"37.3";"41.9";"44.9";"51.8";"50.7";"45.6";"62.0";"49.1";"66.7";"82.3";"61.2";"75.3";"71.2";"86.3";"95.9";"88.2";"84.1";"108.0";"101.8";"99.6";"97.0";"100.0";"102.0";"94.5";"95.5";"120.1";"93.9"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Clémentine";"010776528";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18.6";"24.0";"24.3";"26.1";"27.6";"28.0";"25.2";"21.8";"24.7";"30.2";"29.1";"26.3";"20.6";"18.0";"23.0";"29.6";"31.6";"26.9";"32.0";"25.5";"30.1";"36.9";"35.7";"39.7";"37.1";"36.6";"37.7";"45.4";"40.9";"51.7";"56.1";"54.9";"59.1";"72.5";"73.5";"85.3";"82.8";"90.4";"90.8";"98.3";"100.0";"100.4";"99.3";"103.4";"100.6";"111.9"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Fraise";"010776529";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16.0";"13.7";"16.3";"16.2";"16.8";"20.2";"20.0";"25.0";"25.0";"28.8";"27.6";"30.2";"37.3";"39.4";"43.8";"42.6";"41.5";"39.8";"44.4";"43.6";"49.4";"61.5";"52.4";"52.9";"52.6";"51.5";"53.5";"51.5";"57.4";"58.1";"63.3";"70.6";"76.2";"80.0";"73.2";"73.3";"79.5";"76.5";"83.0";"81.1";"87.1";"82.7";"84.8";"84.8";"77.6";"82.9";"84.8";"88.3";"89.0";"84.8";"100.0";"105.8";"96.4";"103.5";"114.6";"116.2"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Fraise allongée";"010776530";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100.0";"111.7";"105.8";"104.1";"117.4";"118.1"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Fraise ronde";"010776531";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100.0";"103.2";"92.4";"103.3";"113.4";"115.4"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Framboise";"010776532";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"60.3";"69.8";"70.4";"74.9";"76.8";"79.4";"79.4";"92.6";"90.7";"82.4";"85.9";"91.1";"101.9";"100.2";"95.6";"104.2";"114.8";"113.3";"107.0";"110.1";"108.5";"109.1";"109.5";"112.1";"119.6";"100.0";"104.9";"102.0";"104.6";"110.2";"114.7"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Kiwi";"010776533";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"60.1";"55.7";"50.9";"30.0";"33.3";"38.9";"39.5";"41.5";"55.3";"52.3";"42.5";"42.0";"62.5";"64.7";"64.4";"50.5";"53.2";"55.3";"68.9";"57.8";"53.3";"59.6";"58.8";"65.8";"68.3";"67.4";"60.9";"73.8";"93.3";"86.2";"100.0";"117.7";"131.3";"127.5";"136.2";"148.8"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Noix";"010776534";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"66.6";"76.8";"57.6";"67.5";"70.3";"79.1";"65.5";"70.4";"61.0";"65.0";"81.2";"77.5";"76.2";"87.0";"78.3";"73.2";"69.2";"84.3";"87.3";"80.8";"100.2";"108.6";"116.9";"129.0";"134.4";"123.1";"120.7";"131.8";"118.4";"105.6";"100.0";"103.8";"103.9";"88.1";"105.5";"120.5"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Pêche et nectarine";"010776535";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15.8";"11.1";"14.6";"15.8";"21.3";"44.9";"20.8";"35.1";"32.9";"33.4";"34.4";"35.5";"51.9";"44.0";"46.6";"44.5";"54.2";"44.3";"53.5";"44.8";"58.2";"78.8";"47.0";"58.7";"54.2";"57.3";"58.5";"59.8";"78.0";"50.1";"55.0";"73.0";"52.9";"87.8";"65.5";"57.4";"69.9";"64.6";"75.4";"61.0";"70.8";"61.8";"71.3";"84.8";"64.8";"76.4";"80.2";"75.1";"93.1";"88.4";"100.0";"123.8";"119.6";"114.2";"105.4";"123.5"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Nectarine";"010776536";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"60.7";"80.2";"48.8";"59.1";"55.6";"60.5";"62.3";"63.2";"79.7";"53.8";"57.0";"75.2";"53.1";"86.2";"66.7";"56.8";"67.5";"62.6";"73.5";"58.9";"68.0";"59.0";"69.9";"82.2";"63.9";"73.8";"78.7";"73.7";"90.9";"85.7";"100.0";"122.6";"116.6";"113.1";"102.1";"119.3"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Pêche";"010776537";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"60.9";"79.0";"48.6";"58.5";"54.1";"56.9";"55.4";"59.8";"78.4";"47.4";"54.1";"69.5";"53.6";"90.5";"62.0";"57.6";"72.1";"66.3";"77.1";"63.0";"73.3";"64.4";"72.4";"87.1";"66.1";"78.6";"81.6";"76.1";"95.1";"90.9";"100.0";"124.9";"122.3";"115.2";"108.3";"127.3"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Poire";"010776538";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9.7";"10.6";"15.9";"15.5";"16.3";"20.6";"13.5";"33.8";"28.9";"22.8";"24.8";"31.1";"33.2";"33.5";"34.3";"40.0";"53.4";"42.5";"49.1";"52.4";"65.6";"86.8";"41.2";"47.8";"45.4";"46.4";"47.8";"53.3";"65.0";"51.0";"58.2";"60.0";"63.9";"66.4";"63.7";"56.2";"69.3";"66.3";"81.9";"68.1";"81.4";"71.3";"87.8";"88.6";"68.9";"77.0";"91.5";"92.7";"97.1";"98.5";"100.0";"138.3";"112.7";"142.5";"133.9";"139.5"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Poire d'été";"010776539";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"62.5";"94.5";"34.4";"49.7";"44.0";"44.6";"46.4";"53.9";"71.3";"46.7";"61.5";"58.2";"62.3";"66.7";"64.5";"53.6";"72.3";"70.7";"87.7";"69.2";"88.8";"71.5";"95.0";"85.6";"65.3";"75.9";"95.9";"93.1";"98.5";"101.1";"100.0";"151.8";"102.2";"155.9";"133.5";"146.3"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Poire hors été";"010776540";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100.0";"122.1";"125.3";"126.5";"134.3";"131.3"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Pomme";"010776541";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13.5";"17.8";"25.9";"23.7";"27.9";"22.8";"31.1";"69.9";"37.9";"30.5";"36.6";"46.9";"53.3";"57.3";"56.7";"58.4";"59.5";"46.9";"50.7";"53.2";"68.5";"104.1";"61.4";"44.9";"58.6";"55.2";"58.2";"55.4";"55.7";"58.0";"51.8";"60.3";"68.4";"66.4";"73.8";"65.1";"70.0";"73.3";"75.1";"64.6";"77.7";"76.8";"89.8";"100.7";"76.5";"82.5";"85.3";"90.1";"101.7";"93.7";"100.0";"107.7";"101.1";"115.6";"117.8";"114.2"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix agricoles à la production (IPPAP) - Pomme Gala";"010776542";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"79.0";"81.9";"76.5";"78.4";"63.4";"70.1";"84.4";"74.5";"80.5";"91.8";"68.3";"78.6";"82.2";"81.5";"68.6";"82.8";"80.2";"99.7";"101.1";"81.5";"87.8";"98.1";"97.9";"99.1";"95.3";"100.0";"105.3";"102.9";"115.4";"118.6";"115.6"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
