"idBank";"Dernière mise à jour";"IPAGRI";"﻿Base de l'indice";"Indicateur";"Correction";"Série arrêtée";"Puissance";"Nomenclature de l'indice des prix agricoles";"Zone géographique";"Unité";"Périodicité";"Nature"
"010777433";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Aliments : autres (mélasses, foin, paille)";"France";"sans objet";"Mensuelle";"Indice"
"010777475";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Aliments équins (ou autres animaux)";"France";"sans objet";"Mensuelle";"Indice"
"010777494";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Anti-inflammatoires";"France";"sans objet";"Mensuelle";"Indice"
"010777498";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Vacation horaire";"France";"sans objet";"Mensuelle";"Indice"
"010777499";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Tarif de prophylaxie";"France";"sans objet";"Mensuelle";"Indice"
"010776857";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Indice total";"France";"sans objet";"Annuelle";"Indice"
"010776858";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Biens et services de consommation courante";"France";"sans objet";"Annuelle";"Indice"
"010776859";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences et plants";"France";"sans objet";"Annuelle";"Indice"
"010776860";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences céréales à paille";"France";"sans objet";"Annuelle";"Indice"
"010776861";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences de blé tendre";"France";"sans objet";"Annuelle";"Indice"
"010776862";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences de blé tendre (traitement standard)";"France";"sans objet";"Annuelle";"Indice"
"010776863";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences de blé tendre (traitement haut de gamme)";"France";"sans objet";"Annuelle";"Indice"
"010776864";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences de blé tendre (traitement anti-mouche)";"France";"sans objet";"Annuelle";"Indice"
"010776865";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences de blé tendre hybride";"France";"sans objet";"Annuelle";"Indice"
"010776866";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences de blé dur";"France";"sans objet";"Annuelle";"Indice"
"010776867";"31/07/2026 12:00";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"non";"0";"Semences d'orge";"France";"sans objet";"Annuelle";"Indice"
